"numcoutrex","codesolution","coderex","minicoutrex","maxicoutrex","reelcoutrex","codemonnaiecoutrex","codeunitecoutrex","codedifficulte","codelicense"
"1","1","1",NULL,NULL,NULL,NULL,NULL,NULL,"3"
"2","248","2",NULL,NULL,"8333","3","1","8","3"
"3","226","4",NULL,NULL,"129000","2","1","3","3"
"4","437","11",NULL,NULL,"2000","2","1","8","3"
"5","160","34",NULL,NULL,"5000","2","1","1","3"
"6","720","34",NULL,NULL,"1000000","2","1","3","3"
"7","719","31","8000","10000",NULL,"2","1","8","3"
"8","79","37",NULL,NULL,"20000","3","1","8","3"
"9","768","37",NULL,NULL,"740","3","1","1","3"
"10","719","37",NULL,NULL,"20000","3","1","8","3"
"11","469","37",NULL,NULL,NULL,"1","1","4","3"
"12","449","37",NULL,NULL,NULL,"1","1","5","3"
"13","325","37",NULL,NULL,"9500","3","1","8","3"
"14","770","37",NULL,NULL,NULL,"1","1",NULL,"3"
"15","800","38",NULL,NULL,"37000000","2","1",NULL,"3"
"16","857","39",NULL,NULL,"270000","2","1",NULL,"3"
"17","153","41",NULL,NULL,"3400","2","1","8","3"
"18","464","41",NULL,NULL,"7500","2","1","8","3"
"19","772","41",NULL,NULL,"300000","2","1","8","3"
"20","79","30",NULL,NULL,"10000","2","1","5","3"
"21","211","30",NULL,NULL,"40000","2","1","8","3"
"22","776","47",NULL,NULL,"15","5","18","8","3"
"23","776","47",NULL,NULL,"10","5","18","8","3"
"24","776","47",NULL,NULL,"15","5","17",NULL,"3"
"25","777","49",NULL,NULL,"17500","3","1","8","3"
"26","147","53",NULL,NULL,"45000","5","1","8","3"
"27","154","53",NULL,NULL,"750000","5","1","8","3"
"28","779","54",NULL,NULL,"18800","2","1","5","3"
"29","502","56",NULL,NULL,"455000","5","1","8","3"
"30","779","57",NULL,NULL,"12800","2","1","5","3"
"31","160","57",NULL,NULL,"3600","2","1","4","3"
"32","403","58",NULL,NULL,"165000","2","1","8","3"
"33","719","59",NULL,NULL,"83000","2","1","8","3"
"34","172","60",NULL,NULL,NULL,"1","1",NULL,"3"
"35","779","60",NULL,NULL,"30000","2","1","5","3"
"36","780","63",NULL,NULL,"13000000","5","1","5","3"
"37","214","64",NULL,NULL,"45400","2","1","8","3"
"38","489","65",NULL,NULL,"175000","2","1","8","3"
"39","211","67",NULL,NULL,NULL,"1","1",NULL,"3"
"40","367","14",NULL,NULL,"25000","2","1","8","3"
"41","783","73",NULL,NULL,NULL,"1","1",NULL,"3"
"42","784","74",NULL,NULL,NULL,"1","1",NULL,"3"
