"numgainrex","codesolution","coderex","gainfinanciergainrex","codemonnaiegainrex","codeperiodeeconomie","energiegainrex","uniteenergiegainrex","codeperiodeenergie","gesgainrex","minigainrex","maxigainrex","moyengainrex","reelgainrex","trireelgainrex","trimingainrex","trimaxgainrex","codelicense"
"1","1","1","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"361","1","109","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"375","1","114","31743.0","4","3","NULL","1","1","455.0","NULL","NULL","NULL","NULL","4.2","NULL","NULL","3"
"808","1","489","17000.0","6","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1522","1","153","17000.0","2","3","534.0","12","1","34.8","NULL","NULL","NULL","NULL","3.0","NULL","NULL","3"
"1540","1","781","NULL","1","3","4668.0","2","1","288.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1569","1","1644","NULL","1","3","1197.0","2","1","84.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1570","1","1645","NULL","1","3","8128.0","2","1","601.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1602","1","1515","NULL","1","3","961.0","2","1","67.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1616","1","1633","NULL","1","3","33.0","2","1","28.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2001","1","1","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2366","1","1268","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2645","1","1449","2122.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3114","1","1435","2395.0","3","3","27900.0","5","1","NULL","NULL","NULL","NULL","0.5","1.3","NULL","NULL","3"
"3551","1","1898","NULL","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3597","1","1913","640000.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"40","2","43","NULL","1","1","NULL","1","1","NULL","NULL","0.3","NULL","NULL","NULL","NULL","NULL","3"
"1634","2","1612","NULL","1","1","NULL","1","1","891.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2881","2","182","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"376","4","118","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0","2.0","3"
"963","4","180","30000.0","3","3","254700.0","5","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2818","4","563","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3117","4","1457","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3922","5","524","520000.0","7","3","115000.0","5","1","NULL","NULL","NULL","NULL","NULL","0.02","NULL","NULL","3"
"1810","8","825","56000.0","3","3","450.0","12","1","NULL","NULL","NULL","NULL","NULL","0.15","NULL","NULL","3"
"2310","8","1245","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"110","10","96","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.16","NULL","NULL","NULL","3"
"118","10","96","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.06","NULL","NULL","NULL","3"
"388","11","118","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2919","13","1552","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3501","18","605","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"951","19","178","103000.0","3","3","928600.0","5","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1806","19","825","145000.0","3","3","2900.0","12","1","NULL","NULL","NULL","NULL","NULL","5.5","NULL","NULL","3"
"2107","19","2055","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"4221","19","2124","0.0","1","1","310000.0","5","3","0.0","0.0","0.0","0.0","0.0","0.0","3.0","4.0","3"
"2311","21","1245","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"487","22","340","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2277","24","1278","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3600","24","138","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2003","25","443","19840.0","9","3","30648.0","5","1","NULL","NULL","NULL","NULL","NULL","1.2","NULL","NULL","3"
"3033","26","1487","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1808","27","825","150000.0","3","3","3000.0","12","1","NULL","NULL","NULL","NULL","NULL","3.7","NULL","NULL","3"
"462","29","190","4928.0","4","3","54750.0","5","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"768","29","104","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","0.7","NULL","NULL","3"
"1815","29","825","21000.0","3","3","170.0","12","1","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"2175","29","2072","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2390","29","594","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3599","29","138","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"4056","29","551","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1780","32","820","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1877","32","716","NULL","1","1","648272.0","5","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3601","32","138","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2279","33","1278","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1158","34","40","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1805","34","825","15000.0","3","3","300.0","12","1","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"1842","42","836","87420.0","3","3","1552750.0","5","1","NULL","NULL","NULL","NULL","NULL","3.34","NULL","NULL","3"
"2159","42","2070","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"394","43","121","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"507","43","347","880000.0","9","3","2940.0","12","3","NULL","NULL","NULL","NULL","0.68","2.0","NULL","NULL","3"
"512","43","348","NULL","1","1","119.0","12","3","NULL","NULL","NULL","NULL","0.61","1.5","NULL","NULL","3"
"514","43","348","NULL","1","1","60.0","14","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"540","43","360","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","0.15","NULL","NULL","NULL","3"
"779","43","469","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"857","43","471","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1147","43","1565","10650.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
