"codelangue","codeappelobjet","traductiondictionnaire"
"2","2","Installation frigorifique négative de type cascade utilisant du CO2"
"2","2","Mise en place d'une installation frigorifique négative de type cascade utilisant du CO2 comme fluide frigorigène."
"3","2","Negative cascade type refrigeration system using CO2"
"3","2","Mise en place d'une installation frigorifique négative de type cascade utilisant du CO2 comme fluide frigorigène."
"4","2","Instalación frigorífica negativa de tipo cascada utilizando CO2"
"4","2","Mise en place d'une installation frigorifique négative de type cascade utilisant du CO2 comme fluide frigorigène."
"2","4","Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul"
"2","4","<P>Lorsqu’ils ne sont pas équipés de variation électronique de vitesse, la plupart des groupes frigorifiques fonctionnent en Tout en Rien selon le besoin de refroidissement. Lorsque la température en amont des compresseurs descend sous la consigne, les compresseurs se mettent en marche à leur charge nominale. Ainsi, lorsque le besoin de refroidissement est faible, l’utilisation des compresseurs est limitée. Cependant, lorsque le besoin est nul, il est important d’arrêter complètement la centrale frigorifique pour supprimer les pertes thermique du réseau. </P>
<P>Outre l’arrêt manuel des groupes frigorifiques par les équipes du site, il existe plusieurs solutions pour automatiser l’arrêt d’un équipement. Par exemple, des horloges programmables peuvent être installées, des temporisations permettant un arrêt au bout d’un certain temps après que le besoin ait disparu, sont aussi applicables.</P>"
"3","4","Shutdown of the compressors the weekend and when the need for cooling is zero"
"3","4","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">When they are not equipped with electronic speed variation, most chillers operate in an ON / OFF Manner as needed for cooling. When the temperature upstream of the compressor drops below the setpoint, the compressor will turn on at nominal load. Thus, when the cooling demand is low, the use of compressors is limited. However, when the need is zero, it is important to completely stop the refrigeration unit to remove thermal network losses.</P>
<P>In addition to the manual shutdown of refrigeration groups by the site teams, there are several solutions to automate the shutdown of equipment. For example, programmable clocks can be installed, timers to stop after a certain time after the need has disappeared, are also applicable.</P>"
"4","4","Parada de los compresores el fin de semana y cuando la necesidad de enfriamiento es nula"
"4","4","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Cuando ellos no están equipados con variación electrónica de velocidad, la mayoría de grupos frigoríficos funcionan en Todo o Nada, según las necesidades de enfriamiento. Cuando la temperatura de los compresores es más baja que la consigna, los compresores se ponen en funcionamiento en su carga nominal. Así, cuando la necesidad de enfriamiento es débil, el uso de compresores está limitado. Sin embargo, cuando la necesidad es nula, es importante parar completamente la central frigorífica para suprimir las pérdidas térmicas de la red.</P>
<P>Otra es la parada manual de los grupos frigoríficos por los equipos de los sitios, existen varios grupos para automatizar la parada de un equipo. Por ejemplo, los relojes programables pueden estar instalados, los temporizadores permiten una parada tras un cierto tiempo después de que la necesidad se haya desaparecido, son también aplicables.</P>"
"2","5","Régulation non électronique sur un compresseur"
"2","5","Les types de régulations changent selon la technologie du compresseur : 
- Compresseur alternatif : régulation en ouvrant la soupape d'admission d'un des cylindres ou par variation du volume libre.
- Compresseur centrifuge : régulation par l'utilisation d"
"3","5","Non-electronic control on a compressor"
"3","5","Les types de régulations changent selon la technologie du compresseur : 
- Compresseur alternatif : régulation en ouvrant la soupape d'admission d'un des cylindres ou par variation du volume libre.
- Compresseur centrifuge : régulation par l'utilisation d"
"4","5","Regulación no electrónica sobre un compresor"
"4","5","Les types de régulations changent selon la technologie du compresseur : 
- Compresseur alternatif : régulation en ouvrant la soupape d'admission d'un des cylindres ou par variation du volume libre.
- Compresseur centrifuge : régulation par l'utilisation d"
"2","8","Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire."
"2","8","Remplacer un compresseur surdimensionné par un compresseur plus performant avec une puissance plus adaptée au vrai besoin associé. Eventuellement avec un système de stockage."
"3","8","Check sizing and replacement of the compressors oversized if necessary"
"3","8","Replace oversized compressor with a more efficient compressor with a more&nbsp; suitable power to the real associated needs. Optionally with a storage system."
"4","8","Verificación de dimensionamiento y reemplazo de los compresores sobredimensionados si es necesario"
"4","8","<P>Reemplazo un compresor sobredimensionado por un compresor más eficiente con una potencia más adaptada a la necesidad real asociada. Eventualmente con un sistema de almacenamiento.</P>"
"2","9","Zone neutre entre les températures de consignes chaude et froide"
"2","9","Changer les températures de consignes de chauffage/climatisation"
"3","9","Neutral zone between the temperatures of hot and cold instructions"
"3","9","Changer les températures de consignes de chauffage/climatisation"
"4","9","Crear una zona neutra entre las temperaturas de consignas calientes y frías"
"4","9","Changer les températures de consignes de chauffage/climatisation"
"2","10","Séparation des productions de froid"
"2","10","Séparer les production de froid"
"3","10","Separation of cold productions"
"3","10","Séparer les production de froid"
"4","10","Separar las producciones de frío"
"4","10","Séparer les production de froid"
"2","11","Diminution des entrées de chaleur dans les zones d'utilisation du froid"
"2","11","Réduction du nb d'éclairages dans la zone froide, changement des technologies d'éclairage, fermeture des portes (joints…), mise en place de contact de portes qui éteigne automatiquement l'éclairage. 
Diminution du temps de présence humaine dans la zone."
"3","11","Decrease heat inputs in the areas of use of cold"
"3","11","Réduction du nb d'éclairages dans la zone froide, changement des technologies d'éclairage, fermeture des portes (joints…), mise en place de contact de portes qui éteigne automatiquement l'éclairage. 
Diminution du temps de présence humaine dans la zone."
"4","11","Disminución de las entradas de calor en las zonas de utilización del frío"
"4","11","Réduction du nb d'éclairages dans la zone froide, changement des technologies d'éclairage, fermeture des portes (joints…), mise en place de contact de portes qui éteigne automatiquement l'éclairage. 
Diminution du temps de présence humaine dans la zone."
"2","12","Pré-refroidissement du produit"
"2","12","Refroidissement à T extérieur ou avec de l'eau de distribution avant de l'introduire dans la chambre froide"
